year,page,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,22,22.5,25.0,31.7,25.7,14.0,13.5,13.5,14.7,18.6,17.6,28.2,28.7
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,23,35.6,23.9,18.4,25.0,16.1,11.9,15.5,22.4,22.6,15.5,36.2,28.5
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,24,44.0,20.2,22.6,27.1,16.3,12.1,15.9,24.0,24.2,21.5,36.5,19.7
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,25,18.3,21.9,26.2,15.4,18.6,10.0,17.5,15.2,16.6,30.8,20.7,20.5
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,26,20.0,18.9,25.1,15.2,18.1,12.2,13.3,14.7,14.3,33.8,24.0,26.3
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,27,21.3,20.5,23.9,14.5,19.5,14.5,16.5,22.2,13.7,23.5,19.1,29.2
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,28,32.0,21.0,19.4,16.4,19.7,14.4,15.7,25.8,17.9,22.5,20.1,24.4
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,29,34.2,,19.9,15.8,19.1,15.1,11.4,26.4,12.2,30.5,25.7,32.6
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,30,23.1,,21.5,15.9,19.0,14.4,12.7,14.7,14.0,20.4,37.5,21.6
1982,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1982&p_c=-1514873801&p_stn_num=087031,31,21.8,,21.4,,13.2,,14.3,12.8,,15.8,,33.8
1983,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1983&p_c=-1514873801&p_stn_num=087031,1,23.7,42.3,33.0,17.4,17.5,15.3,13.4,13.2,17.7,24.3,16.9,17.5
1983,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1983&p_c=-1514873801&p_stn_num=087031,2,19.8,22.8,30.0,16.8,17.7,14.3,14.1,13.0,18.9,13.7,20.3,18.3
1983,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1983&p_c=-1514873801&p_stn_num=087031,3,26.4,22.6,32.6,18.1,16.3,15.2,11.8,11.9,16.5,12.5,22.4,17.9
1983,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1983&p_c=-1514873801&p_stn_num=087031,4,26.3,23.5,37.3,15.0,16.8,16.2,12.2,12.6,14.4,15.9,15.8,18.1
1983,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1983&p_c=-1514873801&p_stn_num=087031,5,20.8,26.5,25.6,14.3,17.4,16.5,13.4,14.3,16.3,15.4,16.7,22.1
1983,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1983&p_c=-1514873801&p_stn_num=087031,6,21.7,36.3,31.6,15.4,18.3,16.5,10.5,14.0,18.5,15.4,24.5,19.5
1983,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1983&p_c=-1514873801&p_stn_num=087031,7,28.9,32.5,30.0,16.2,18.3,12.2,11.5,15.4,17.5,15.0,19.8,17.8
